owner_mid,owner_name,owner_face,owner_sign,owner_gender,owner_level,owner_verified,owner_verified_title,owner_vip_type,owner_follower_count,owner_following_count,owner_video_count
488960399,夜和朝阳,https://i2.hdslb.com/bfs/face/2488ea0bc62e795fad58049b695a37d90e1cd1a8.jpg,谢谢大家的喜欢，今后也会更努力创作出有趣的内容,保密,5,False,,1,13195,192,73
1368498772,你哇哥233,https://i1.hdslb.com/bfs/face/ee1fd70a2281f9631ef70e404471cf5f1ac58e82.jpg,主页课堂里有各种单曲的全曲教学～商业合作直接发私信 直奔主题简单描述 ,保密,6,True,bilibili 知名娱乐UP主,2,1417518,8,319
1340190821,崩坏星穹铁道,https://i2.hdslb.com/bfs/face/c27e19b8861be105b9d80b6743756c35027ae736.jpg,愿此行，终抵群星。 ,保密,6,True,崩坏：星穹铁道官方账号,2,11935213,19,289
25109224,渔猎齐哥,https://i1.hdslb.com/bfs/face/053c41970279432c8f4701438ea7ffa2b3065043.jpg,曝光污染，保护生态环境,保密,6,False,,0,564393,4,140
2083634390,一条闲木鱼,https://i2.hdslb.com/bfs/face/1b0e9d05e20c6fc08df34a98f24260e94167aaf2.jpg,坚持唯物史观，你我皆可燎原,保密,6,True,2025百大UP主、知名科普UP主,2,1656957,236,270
357261525,安迪视频,https://i0.hdslb.com/bfs/face/44be7e29670fafd734a6961668f3e130ff7e7456.jpg,用心创造让观众融入的故事世界,男,6,True,bilibili 知名动漫UP主,2,1665338,0,1181
3494377422850175,任青结,https://i2.hdslb.com/bfs/face/f87c475ab03f7e04dbf1f77fd52380734f368a01.jpg,"不授权音频使用
青春没有售价，点赞关注留下！
商V：renqingjie76（备注来意）概念神、<重生之我在???>系列首创",男,6,True,bilibili 知名UP主,1,600351,9,621
1429419180,闲不住的画笔,https://i0.hdslb.com/bfs/face/75218cbd4b55d01a92655b9a80eeca7ae647795c.jpg,是本人，感谢各位支持｜商V：hyqiuqiu19｜QQ:445591408,保密,6,True,bilibili 知名UP主,1,687274,3,126
7394394,极客羊,https://i0.hdslb.com/bfs/face/d448d9e1e8d857b6dc0d709b8dc8d8251f74d5e6.jpg,新开了个小号更新日常：羊羊君pro！  商务合作V：heathtata（数据维护、MCN勿扰）,保密,6,True,bilibili 知名游戏UP主,2,1017200,2,481
407054668,亿点点不一样,https://i1.hdslb.com/bfs/face/9a2c23800387d9c871f3b5dd3620dc1c3c50d2f9.jpg,我们不是科普，我们与你一起发现,保密,6,True,bilibili 知名UP主,1,6147969,58,89
533654144,留书签,https://i2.hdslb.com/bfs/face/eec17a92e239112e2bbbcbc8d18499a00fc9d881.jpg,"你友好的剪辑手邻居
暂时不jiaoxue
戈壁同名
扣扣交流群：602205059",男,6,False,,2,46359,186,84
632887,伢伢gagako,https://i1.hdslb.com/bfs/face/38d85946c9cd0cf159e4d646be63fad36c2486c1.jpg,抽象元气，向着光芒前进！全平台同名～双胞妹妹@一只嘎嘎扣；商务合作请私信！,女,6,True,2025百大UP主、2024百大UP主、知名UP主,2,2708888,279,327
3546939243104552,ThatEvanGuy,https://i2.hdslb.com/bfs/face/62b00721fab4c07f1b2483e60e548766512e44e5.jpg,一个普通人，硬是收不倒脑壳，一天到黑都在幻想比尔·克林顿遭希拉里·克林顿打屁股。,保密,6,False,,0,252019,5,49
548196587,床哥乡村美食记,https://i2.hdslb.com/bfs/face/d2dca5de13f8629f405b7e424cc17113095c6125.jpg,,保密,6,True,bilibili 知名UP主,0,1004996,50,1218
1195221374,李若彤,https://i2.hdslb.com/bfs/face/74fd7406b8d6d7b55ab5796f7e440b19c8f5d7de.jpg,咱们B站的年轻人也难不倒我。工作联系13773161666,女,6,True,演员李若彤,1,758987,7,274
11022243,云耀yoke,https://i0.hdslb.com/bfs/face/59fd606e8f48019168f0120f8e6c969e590549fb.jpg,游戏就是要笑着玩！一般晚上19:30直播(周一，四不播)，非全职up，平时白天还要上班～商务微信:Yoke8892（备注来意）,男,6,True,bilibili 知名游戏UP主,2,1260129,268,970
688489329,混饭达人,https://i0.hdslb.com/bfs/face/e2f6eb40c717fcbe845078b9a5d8f0a08c77baba.jpg,"个人就是比较擅长胡说八道
合作：2984568752@qq.com
更多请搜索【送饭达人】
微博@混饭达人是我

",女,6,True,bilibili 知名娱乐UP主,2,810741,59,111
84130356,夏天y,https://i0.hdslb.com/bfs/face/2139ba40f33a5977675e209a66896c4c3fe3eeb5.jpg,微博：廊坊神童 商务+V：XTeamY。陪玩公众号：夏天歪陪,保密,6,True,bilibili 知名游戏UP主,2,1862782,373,1011
8263502,橙飞一下,https://i2.hdslb.com/bfs/face/86fbb87fdf4d5ec1ba3bb7b56131d8265d36ffcd.jpg,"人二为仁，人仁忍韧。全马pb3:29:37，半马pb1:40:27。
美食区最能跑，跑步区最能吃，带你吃好吃又便宜的自助。曾经是小学老师。
",男,6,True,美食领域优质UP主,2,2375848,293,817
198984982,泠代Lulu,https://i1.hdslb.com/bfs/face/dab268c996b0da40118410c293c7c896e88f084d.jpg,是泠代不是冷代。本人商务：Excel10086,男,6,True,bilibili 知名游戏UP主,2,636111,143,335
10792739,三道黑的爹三土念遥,https://i2.hdslb.com/bfs/face/0bcfe0d6dc14d546d76890a96964af7d5ed2d125.jpg,"网易云：三土念遥  
17 年生原创音乐人，号平时是爸爸在用",男,6,False,,1,64479,1213,59
3461576715667734,无限暖暖,https://i0.hdslb.com/bfs/face/0af5ece9533ba91d0369d9c65d98eb56198626d3.jpg,2.4版本「嘘！森林不必听」3月27日全球同步开启！,保密,6,True,游戏《无限暖暖》官方账号,2,1703185,3,288
436368347,东方日出哇,https://i2.hdslb.com/bfs/face/d9c8f0680355e6b5f0941aec8d2e166f832cdf8f.jpg,世界和平,男,6,True,bilibili 知名游戏UP主,2,1029239,125,668
