bvid,has_stat_snapshot,has_comment_snapshot
BV1J1SoBDEE6,True,True
BV1J1XTBnEjr,True,True
BV1J2DMBDE5f,True,True
BV1J2SRB5EN4,True,True
BV1J397B7EYM,True,True
BV1J397B7Emy,True,True
BV1J39MBxEAL,True,True
BV1J39MBxEhC,True,True
BV1J3XeBtEzx,True,True
BV1J3XoBoEq5,True,True
BV1J49NBUEEw,True,True
BV1J4DTB1ESM,True,True
BV1J4QwBPEQs,True,True
BV1J4SZB9EWk,True,True
BV1J4SZB9ExP,True,True
BV1J4XMBHEFH,True,True
BV1J4XMBHEGD,True,True
BV1J4XMBHEWP,True,True
BV1J4XMBHEYA,True,True
BV1J4XMBHEqA,True,True
BV1J4XMBHEuo,True,True
BV1J4XgBFEBk,True,True
BV1J4XgBFEDQ,True,True
BV1J59MBWEDN,True,True
BV1J59MBWEmn,True,True
BV1J5DWBZEYg,True,True
BV1J5XLBCEQU,True,True
BV1J5XiBPEj5,True,True
BV1J6DiBbEqj,True,True
BV1J6DiBbEth,True,True
BV1J6XDBkErP,True,True
BV1J6XjByE4L,True,True
BV1J6XjByE8h,True,True
BV1J6XjByEdA,True,True
BV1J6XjByEdL,True,True
BV1J6XjByEiW,True,True
BV1J6XjByEzP,True,True
BV1J79HBfEvs,True,True
BV1J7DWBdEK9,True,True
BV1J7DZB9EkT,True,True
BV1J7DvBxEyi,True,True
BV1J7XKBSE2L,True,True
BV1J7XKBSE2n,True,True
BV1J7XKBSEoE,True,True
BV1J7XLBrEdH,True,True
BV1J8DaBSEEb,True,True
BV1J8XYB4ERJ,True,True
BV1J8wszoEHB,True,True
BV1J9DHBWEVn,True,True
BV1JA9VBTEej,True,True
BV1JAX8B7Ewh,True,True
BV1JBDVBaEng,True,True
BV1JBX5BME2k,True,True
BV1JBX5BMEPb,True,True
BV1JBX5BMEm9,True,True
BV1JBX5BMEpa,True,True
BV1JBXNB7ED9,True,True
BV1JBXUBKE2v,True,True
BV1JBXUBKEG1,True,True
BV1JBXUBKEVo,True,True
BV1JC9wBgEQC,True,True
BV1JCQcBeEB6,True,True
BV1JDAnzSE99,True,True
BV1JE9GBTEf1,True,True
BV1JE9cBBErE,True,True
BV1JE9gBbEEX,True,True
BV1JEAwzfEsj,True,True
BV1JEXBBuETP,True,True
BV1JEXPB3E5M,True,True
BV1JEXPB3E7T,True,True
BV1JEXPB3E9u,True,True
BV1JEXPB3EGh,True,True
BV1JEXPB3ELx,True,True
BV1JEXPB3Ej5,True,True
BV1JEXPB3EmP,True,True
BV1JEXPB3EyZ,True,True
BV1JEXPBGE9L,True,True
BV1JGSSBwE9H,True,True
BV1JGSSBwEsK,True,True
BV1JGX1B4EzT,True,True
BV1JGXVBTEXS,True,True
BV1JGXeBoE3t,True,True
BV1JGXiBvEyw,True,True
BV1JHQFBfEDW,True,True
BV1JHQwBqEdP,True,True
BV1JHS9BrESn,True,True
BV1JHXMBREXy,True,True
BV1JJDZBpEuz,True,True
BV1JJDxBAE5A,True,True
BV1JJDxBAE5s,True,True
BV1JJSQBNEba,True,True
BV1JJXKBEE2L,True,True
BV1JJXKBEE2j,True,True
BV1JJXKBEE84,True,True
BV1JJXKBEE8S,True,True
BV1JJXKBEEAB,True,True
BV1JJXKBEED8,True,True
BV1JJXKBEEGb,True,True
BV1JJXKBEEL6,True,True
BV1JJXKBEEaX,True,True
