bvid,has_stat_snapshot,has_comment_snapshot
BV113QFBiEMq,True,True
BV114QMBtE53,True,True
BV115DDBkEvD,True,True
BV11ADyBdELh,True,True
BV11DXbBxENF,True,True
BV11JQKBsEYh,True,True
BV11KDZBwEVj,True,True
BV11ND2BAEgX,True,True
BV11PXPBDEgb,True,True
BV11PXfBuEjJ,True,True
BV11QDUBzEMD,True,True
BV11TQFBuEzP,True,True
BV11VDjBLEto,True,True
BV11WQKBQEFz,True,True
BV11YXTBtEa1,True,True
BV11ZDrBHECd,True,True
BV11aDSBGEkp,True,True
BV11bXNBpEhM,True,True
BV11eQcBzE5r,True,True
BV11eQcBzExq,True,True
BV11pSDBVEUA,True,True
BV11tD4B1EyJ,True,True
BV11vQAB2ETC,True,True
BV11zXpBzE9L,True,True
BV121XKBhEfd,True,True
BV1239NBZEN3,True,True
BV123DDByEqF,True,True
BV123QwB5EFz,True,True
BV124DfBiEe3,True,True
BV124DfBiEtZ,True,True
BV128D4B5E7h,True,True
BV12CD2BTEQR,True,True
BV12ED1BvERN,True,True
BV12EDCBoE17,True,True
BV12FDyBZEbK,True,True
BV12HDpBNEjc,True,True
BV12JQKBsE2U,True,True
BV12KDZBwEsB,True,True
BV12MQFBBEsb,True,True
BV12PQuBAEhx,True,True
BV12PXPBDE4a,True,True
BV12SDtBnEoq,True,True
BV12TDxB3Ez9,True,True
BV12VQPBDEwD,True,True
BV12WXjBxEm9,True,True
BV12XQwBjEEx,True,True
BV12aDSBGEG6,True,True
BV12dDuBYE9w,True,True
BV12e9LBXELR,True,True
BV12gDDBLELS,True,True
BV12gcjzCEhB,True,True
BV12jQPBUEjx,True,True
BV12nDCBxEjB,True,True
BV12pDsB3E2x,True,True
BV12qDkBREBa,True,True
BV12sD1BhEjk,True,True
BV12tQcBCENX,True,True
BV12xXzBpExQ,True,True
BV12yDAB2EVb,True,True
BV133D1BgEnb,True,True
BV133XZB1EHu,True,True
BV133XZB1EvW,True,True
BV135XjBYEUe,True,True
BV136QFB2EAQ,True,True
BV13DQKBPEAb,True,True
BV13DQKBPEYH,True,True
BV13DXGBHEy6,True,True
BV13GD1BzEiN,True,True
BV13LDmBLE4M,True,True
BV13PDEBcEoc,True,True
BV13PDrBbEwq,True,True
BV13QQKBYEWE,True,True
BV13QQKBYEbz,True,True
BV13QX5BbEEM,True,True
BV13RX5B4E1W,True,True
BV13RXjBNECj,True,True
BV13SDCBiEDa,True,True
BV13SDCBiEWf,True,True
BV13SDCBiEdv,True,True
BV13SDCBiEwh,True,True
BV13TDCBNEhe,True,True
BV13TDpByEDg,True,True
BV13XQMB6E5t,True,True
BV13YQTBvE73,True,True
BV13YSSBmEHr,True,True
BV13ZDmB2ExM,True,True
BV13aDWBjEHi,True,True
BV13aXPBaE2C,True,True
BV13bQNB8Ez5,True,True
BV13gDCBAEup,True,True
BV13iDZBrEiH,True,True
BV13mXGBWEX8,True,True
BV13nDSBSE4P,True,True
BV13sDQBRE8i,True,True
BV13sQABsEb1,True,True
BV13tX1BjEtc,True,True
BV13uD1BrEQr,True,True
BV13wQwBHETi,True,True
BV13xDkBPE94,True,True
BV13xQNBaESU,True,True
BV13yQwBQEKz,True,True
BV13zDxBJEwt,True,True
BV13zXMBVEor,True,True
BV141XbBfEb7,True,True
BV141XbBfEmf,True,True
BV142QFBkEiV,True,True
BV143QwB5EjL,True,True
BV147QKBdEWr,True,True
BV1499NBFEV8,True,True
BV14EDCBoEFC,True,True
BV14EDCBoEwk,True,True
BV14GQwBCEEL,True,True
BV14HX2BuEu8,True,True
BV14HXjBoEoX,True,True
BV14JQKBsEUf,True,True
BV14JQKBsEkp,True,True
BV14MQwBjE4h,True,True
BV14QDDB7EUn,True,True
BV14QDDB7Es2,True,True
BV14SDDBUE41,True,True
BV14TXKB4E4P,True,True
BV14TXKB4ETL,True,True
BV14UXKBbEn3,True,True
BV14X9jB8EnW,True,True
BV14XDDB2Ebq,True,True
BV14XDDB2Exi,True,True
BV14XQwBjEHM,True,True
BV14YDQBJE1H,True,True
BV14cDWBqEKc,True,True
BV14cQTB4E9o,True,True
BV14dDnBAE1t,True,True
BV14eDkBoEW6,True,True
BV14eDkBoEXK,True,True
BV14hQcBkEkF,True,True
BV14iXaBYEpK,True,True
BV14jQKB4ERx,True,True
BV14kDyBFE5u,True,True
BV14nQKB9EMP,True,True
BV14nQMBaEta,True,True
BV14pDmB6ES3,True,True
BV14pXUBjEWW,True,True
BV14qDyBYEDT,True,True
BV14rDWBgEZP,True,True
BV14uQwB1EMn,True,True
BV14uQwB1Efc,True,True
BV14yDZBKE51,True,True
BV14zDyBwE3G,True,True
BV14zXsB7EH8,True,True
BV153DSBdE7g,True,True
BV154XVBoEuz,True,True
BV156DCBkEDZ,True,True
BV158DZB1ETZ,True,True
BV158DZB1EjU,True,True
BV158DZB1EvT,True,True
BV158DvB7EgY,True,True
BV15AD1B1E3i,True,True
BV15BDzBtEMe,True,True
BV15BXyBSEio,True,True
BV15CDCB6EBS,True,True
BV15GQcBREHj,True,True
BV15KD1BCEVe,True,True
BV15KD1BCEcT,True,True
BV15PDCBTEFU,True,True
BV15PDeBjEQp,True,True
BV15QDLBhEEu,True,True
BV15RXjBKEE8,True,True
BV15SQMBkE7c,True,True
BV15SQMBkEbG,True,True
BV15SXjBBExa,True,True
BV15UDfBnEB4,True,True
BV15UQMBVEi9,True,True
BV15UQMBVErK,True,True
BV15UQMBVErb,True,True
BV15VDSBsEDG,True,True
BV15VDSBsExc,True,True
BV15YQFBHEFS,True,True
BV15YQFBHEQL,True,True
BV15YXMB7E2Y,True,True
BV15cDCBuEWM,True,True
BV15cDCBuEg4,True,True
BV15cX2B9E9y,True,True
BV15dDSBdEhZ,True,True
BV15eQwBbEVc,True,True
BV15hDxBRECx,True,True
BV15jDQBcEx2,True,True
BV15mXUBFEsu,True,True
BV15oQABYEU1,True,True
BV15qQwB4EtX,True,True
BV15rDaBGEYR,True,True
BV15uXNBTENz,True,True
BV15xXPBiEJ7,True,True
BV161SoBQEJQ,True,True
BV164QwBPEJK,True,True
BV165DZBdENX,True,True
BV165XwBKEgL,True,True
BV166DfBoEFo,True,True
BV168DCBJEfW,True,True
BV168QKBmEZ9,True,True
BV169DyBQErt,True,True
BV169QNBGEAS,True,True
BV16CQcBYESK,True,True
BV16CQcBYEsm,True,True
BV16CQcBYEzM,True,True
BV16EQuBXExu,True,True
BV16GDyBSE1N,True,True
BV16JQFBcEhx,True,True
BV16JQFBcEkQ,True,True
BV16MDkByEHp,True,True
BV16MDkByEda,True,True
BV16MQABKEMk,True,True
BV16PDQBuE8y,True,True
BV16RQTBJEyR,True,True
BV16SQABTEG6,True,True
BV16VXPByEeU,True,True
BV16VXPByEzB,True,True
BV16WDDBiETG,True,True
BV16WDEBjEVo,True,True
BV16ZXLBVEA9,True,True
BV16bQPB6EXz,True,True
BV16cDSBYEUi,True,True
BV16cX8BUE56,True,True
BV16dDZBZE1k,True,True
BV16iXNBmE8B,True,True
BV16kD4BKECA,True,True
BV16kQcBPEY7,True,True
BV16mQABBE1o,True,True
BV16mQABBEqd,True,True
BV16nDjB6EhQ,True,True
BV16p9ABkEyf,True,True
BV16sXMBXEzV,True,True
BV16tQPB3E7x,True,True
BV16xDDBNEWn,True,True
BV16yDSBPEda,True,True
BV172XjB6Eu1,True,True
BV173DQBeEia,True,True
BV174QFBxEi6,True,True
BV176QMBUEFy,True,True
BV178DDBYEwA,True,True
BV178DtBPEJP,True,True
BV17CQMB2EVc,True,True
BV17FDmBxEve,True,True
BV17HXPBuEPd,True,True
BV17JDWBsECK,True,True
BV17MDQBqEzn,True,True
BV17NDfBQEL8,True,True
BV17PDsBsEFS,True,True
BV17RDkBVE24,True,True
BV17RDkBVEsR,True,True
BV17XDkByE3d,True,True
BV17ZDkB3ENq,True,True
BV17fDyBEEvE,True,True
BV17iDCBLEtW,True,True
BV17iDaB1Ezw,True,True
BV17iQKBCEiU,True,True
BV17iQKBCEvD,True,True
BV17kDeBJEV8,True,True
BV17kQMB7EKe,True,True
BV17kQMB7ERE,True,True
BV17kQMB7Ert,True,True
BV17nDZBQE2A,True,True
BV17nDZBQE4P,True,True
BV17nDZBQEaF,True,True
BV17nDZBQEe8,True,True
