bvid,has_stat_snapshot,has_comment_snapshot
BV1BS9LBkEBh,True,True
BV1BYDaBmE6y,True,True
BV1BYDaBmELa,True,True
BV1BeAJzkEug,True,True
BV1BnXLBzESN,True,True
BV1BzDeBHEvf,True,True
BV1C1XVBCEVu,True,True
BV1C3SQB6EC8,True,True
BV1C6XCBbEhV,True,True
BV1CSXLBUEHK,True,True
BV1CUXVBrEbz,True,True
BV1CYXNBSE7N,True,True
BV1CaSDBTEKf,True,True
BV1CgXLB5EeU,True,True
BV1CgXLB5EyT,True,True
BV1CiXDBLEpE,True,True
BV1CiXDBLEui,True,True
BV1CiXTBxEZA,True,True
BV1CmXmBgEzf,True,True
BV1CqXTBREVp,True,True
BV1CrX3BBEh4,True,True
BV1CyXVB5E1P,True,True
BV1D5XUBQEx2,True,True
BV1D5XUBQExn,True,True
BV1D897BPEsU,True,True
BV1DaXmBnEqz,True,True
BV1Dm9NBPETK,True,True
BV1DoXNBPEyX,True,True
BV1Dp9VBpEbz,True,True
