bvid,has_stat_snapshot,has_comment_snapshot
BV118XzBSEu9,True,True
BV11ASSBMEbe,True,True
BV11DXbBxENF,True,True
BV11HSUBKEQF,True,True
BV11JSUBqEQq,True,True
BV11NDGBNExp,True,True
BV11PSSBqEKd,True,True
BV11PXPBDEgb,True,True
BV11RDTBxEyP,True,True
BV11WSDBkEYK,True,True
BV11bXNBpEhM,True,True
BV11cSSBzE1T,True,True
BV11cSSBzEHp,True,True
BV11hSRBWESF,True,True
BV11pSDBVEUA,True,True
BV11pSUBvEva,True,True
BV11uD5BgE3S,True,True
BV11vDKBnE3U,True,True
BV11w9MBaEv4,True,True
BV11xSDB3EBf,True,True
BV11xSDB3Ekc,True,True
BV122DABLENS,True,True
BV1239NBZEN3,True,True
BV129SdBtEkp,True,True
BV12FSSBgEb5,True,True
BV12NSQByE5p,True,True
BV12SX6BdEWB,True,True
BV12VSdBRE4a,True,True
BV12W9uBKEN2,True,True
BV12WXjBxEm9,True,True
BV12XDTBoE4u,True,True
BV12ZDuBwEY7,True,True
BV12aDMBcEde,True,True
BV12aSRBXEKA,True,True
BV12aSRBXEws,True,True
BV12cSSBzEz4,True,True
BV12dDuBYEUt,True,True
BV12e9LBXELR,True,True
BV12eSoBFEsK,True,True
BV12pSDBVEGF,True,True
BV12xSDB3EuT,True,True
BV12yDAB2EVb,True,True
BV131SZBrELC,True,True
BV131SZBrEjT,True,True
BV1339uBLESQ,True,True
BV135XjBYEUe,True,True
BV1389MBVEhH,True,True
BV13ADTBwEoq,True,True
BV13CSdBNEdY,True,True
BV13DXGBHEy6,True,True
BV13NSdBwEG7,True,True
BV13RX5B4E1W,True,True
BV13TDuBTEQH,True,True
BV13XSDBQE9y,True,True
BV13cDTBYER6,True,True
BV13cDTBYEpx,True,True
BV13gX5BtEzf,True,True
BV13hDGBEEZ8,True,True
BV13mXGBWEX8,True,True
BV13rSdBiER7,True,True
BV13tX1BjEtc,True,True
BV13u9uB2E69,True,True
BV13ySdBeE5M,True,True
BV13ySdBeEv6,True,True
BV13zXMBVEor,True,True
BV141XbBfEb7,True,True
BV141XbBfEmf,True,True
BV146DgBYEF9,True,True
BV148DKB9ECZ,True,True
BV149SdBtE5F,True,True
BV14AD5BLE9T,True,True
BV14B9KBFEGr,True,True
BV14GSdBxE7N,True,True
BV14HX2BuEu8,True,True
BV14HXjBoEoX,True,True
BV14LSZBwEZP,True,True
BV14NSQByEAj,True,True
BV14PSQBLEyH,True,True
BV14R9NBbEDm,True,True
BV14TXKB4E4P,True,True
BV14TXKB4ETL,True,True
BV14UXKBbEn3,True,True
BV14aDKBpEpN,True,True
BV14cSSBzE79,True,True
BV14iDMBtEuc,True,True
BV14k9MBNENV,True,True
BV14mD5B5EwH,True,True
BV14pXUBjEWW,True,True
BV14rSSBGEZx,True,True
BV14v9KBwEsu,True,True
BV154XVBoEuz,True,True
BV157DMBzEhg,True,True
BV15BXyBSEio,True,True
BV15H9MBUE6N,True,True
BV15MSDB9EcY,True,True
BV15SDPBAEew,True,True
BV15SXjBBExa,True,True
BV15USDB4EQU,True,True
BV15XDPBcEgR,True,True
BV15YXMB7E2Y,True,True
BV15cX2B9E9y,True,True
BV15hDAB4EaS,True,True
BV15hS9BvEmG,True,True
BV15kSZBCEtY,True,True
BV15mDVBxEsh,True,True
BV15mXUBFEsu,True,True
BV15tSQBfENa,True,True
BV15xSSBpEsq,True,True
BV15xXPBiEJ7,True,True
BV164SZB9ESs,True,True
BV166SXBzEjV,True,True
BV16HDNB3EnS,True,True
BV16LDGBtE8z,True,True
BV16VXPByEeU,True,True
BV16VXPByEzB,True,True
BV16ZXLBVEA9,True,True
BV16aSUBbEoJ,True,True
BV16cX8BUE56,True,True
BV16hSUBcEV3,True,True
BV16jD5BvEsY,True,True
BV16yDKB5Eug,True,True
BV16zSXBgEb6,True,True
BV16zSXBgEbA,True,True
BV16zSXBgEhT,True,True
BV172XjB6Eu1,True,True
BV17A9FBfEzR,True,True
BV17FSDBFEMm,True,True
BV17HXPBuEPd,True,True
BV17QDKBzEcj,True,True
BV17aSZBnErC,True,True
BV17bDTB5EWE,True,True
BV17cSDBbEGd,True,True
BV17iSZBmEnb,True,True
BV17qAGz4EQW,True,True
BV17w9FB8Eb7,True,True
BV17xXKB5EbK,True,True
BV17xXKB5Eo5,True,True
BV17zXUBvEZS,True,True
BV184DMBeEbi,True,True
BV1859EBPEFo,True,True
BV185XUBQEVo,True,True
BV185XUBQEbx,True,True
BV189Q6BFEnf,True,True
BV18KSdB8ELk,True,True
BV18KSdB8EaN,True,True
BV18Q9TBuEr6,True,True
BV18QSUB1E7J,True,True
BV18QSUB1EUL,True,True
BV18RSDBHE9R,True,True
BV18RSUBCEHK,True,True
BV18RXABoETo,True,True
BV18W9LBhE4b,True,True
BV18dSDBDEts,True,True
BV18nXjBtEtQ,True,True
BV191DuBgEcg,True,True
BV192SDBoEHr,True,True
BV194XVBdEMZ,True,True
BV197SRBAEMD,True,True
BV19BDTBTEhx,True,True
BV19GSXBZEGu,True,True
BV19HX1BJEqT,True,True
BV19K9uBmEFF,True,True
BV19KSUBjE39,True,True
BV19N9TB6EM7,True,True
BV19SSDBREmo,True,True
BV19WDgB5EHS,True,True
BV19ZDKBvE7V,True,True
BV19bXLBAE3R,True,True
BV19bXmBpE32,True,True
BV19c9TBVEN9,True,True
BV19eXbBTE5m,True,True
BV19gSDBHEM3,True,True
BV19gSDBHEMq,True,True
BV19jXrBTENi,True,True
BV19qDNBFE8H,True,True
BV19rDTBNENw,True,True
BV19wXyB5EDm,True,True
BV19zDTBiEqX,True,True
BV1A3XfBvEGQ,True,True
BV1A6DMBdEi5,True,True
BV1AB9PBHE1q,True,True
BV1ABSRBSEWK,True,True
BV1AC9KBdEbk,True,True
BV1ADSSBKEMB,True,True
BV1ADSSBKEjN,True,True
BV1AFSoBWE5U,True,True
BV1AGD5BuEL4,True,True
BV1AGD5BuEcX,True,True
BV1AN9MBhE1D,True,True
BV1AQXLBEE4A,True,True
BV1AQXmBBEg6,True,True
BV1AVXLB5E7E,True,True
BV1AVXLB5E7n,True,True
BV1AWDuBxEQ9,True,True
BV1AbSDBgEse,True,True
BV1ArSoBxEkU,True,True
BV1AsD3BYECX,True,True
BV1At9uBeE5c,True,True
