bvid,has_stat_snapshot,has_comment_snapshot
BV1BPX8B2EDX,True,True
BV1BS9LBkEBh,True,True
BV1BnXLBzESN,True,True
BV1C1XVBCEVu,True,True
BV1C3SQB6EC8,True,True
BV1CSXLBUEHK,True,True
BV1CUXVBrEbz,True,True
BV1CYXNBSE7N,True,True
BV1CgXLB5EeU,True,True
BV1CgXLB5EyT,True,True
BV1CiXDBLEpE,True,True
BV1CiXDBLEui,True,True
BV1CmXmBgEzf,True,True
BV1CqXTBREVp,True,True
BV1CyXVB5E1P,True,True
BV1D5XUBQEx2,True,True
BV1D5XUBQExn,True,True
BV1DaXmBnEqz,True,True
BV1Dm9NBPETK,True,True
BV1ECXjBkEP3,True,True
BV1EKDKB3EbE,True,True
BV1EhXyBsEsS,True,True
BV1EzXUBvEjc,True,True
