bvid,board_rid,board_name,board_rank,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs,source_csv_path,source_group,_source_priority
BV1nJDjBGEpi,,,,author_expand,owner:1390829728,2026-04-08T09:47:06.208101+00:00,2026-04-08T09:47:06.208101+00:00,1390829728,205,2026-04-08T09:10:26+00:00,43,74.0,owner:1390829728,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1mTDjBJExh,1012.0,科技数码,100.0,rankboard,rankboard:rid=1012:rank=100,2026-04-10T14:49:23.549785+00:00,,21401670,95,2026-04-08T09:02:33+00:00,520,66072.0,"rankboard:rid=1012:rank=100,https://www.bilibili.com/v/popular/rank/tech",full_site_floorings/rankboard-20260410_224902.csv,full_site_floorings,1002
BV1AjDjB5EQZ,1020.0,美食,82.0,rankboard,rankboard:rid=1020:rank=82,2026-04-10T14:49:25.341469+00:00,,535598364,212,2026-04-08T09:02:06+00:00,200,163978.0,"rankboard:rid=1020:rank=82,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260410_224902.csv,full_site_floorings,1002
BV18CDjBdEqU,1007.0,鬼畜,71.0,rankboard,rankboard:rid=1007:rank=71,2026-04-11T12:05:29.016069+00:00,,233474257,182,2026-04-08T09:00:00+00:00,97,105263.0,"rankboard:rid=1007:rank=71,https://www.bilibili.com/v/popular/rank/kichiku",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1K5DrBQERD,1010.0,知识,38.0,rankboard,rankboard:rid=1010:rank=38,2026-04-11T12:05:40.303704+00:00,,651039864,207,2026-04-08T09:00:00+00:00,535,754503.0,"rankboard:rid=1010:rank=38,https://www.bilibili.com/v/popular/rank/knowledge",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1zpDjBuEDb,1012.0,科技数码,68.0,rankboard,rankboard:rid=1012:rank=68,2026-04-11T12:05:43.093519+00:00,,128389311,201,2026-04-08T09:00:00+00:00,162,141732.0,"rankboard:rid=1012:rank=68,https://www.bilibili.com/v/popular/rank/tech",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1ZYDrBBEGe,1020.0,美食,15.0,rankboard,rankboard:rid=1020:rank=15,2026-04-11T12:05:45.618711+00:00,,1420982,76,2026-04-08T09:00:00+00:00,198,992168.0,"rankboard:rid=1020:rank=15,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1EaDrBgE4c,1020.0,美食,41.0,rankboard,rankboard:rid=1020:rank=41,2026-04-11T12:05:45.618711+00:00,,1659154,212,2026-04-08T09:00:00+00:00,1078,1194338.0,"rankboard:rid=1020:rank=41,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1UMDrBdEeN,1020.0,美食,52.0,rankboard,rankboard:rid=1020:rank=52,2026-04-11T12:05:45.618711+00:00,,8894411,212,2026-04-08T09:00:00+00:00,595,458316.0,"rankboard:rid=1020:rank=52,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV143DrB9Eqi,1020.0,美食,54.0,rankboard,rankboard:rid=1020:rank=54,2026-04-11T12:05:45.618711+00:00,,36909511,238,2026-04-08T09:00:00+00:00,1292,367943.0,"rankboard:rid=1020:rank=54,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV17CDiBtEpM,1013.0,汽车,28.0,rankboard,rankboard:rid=1013:rank=28,2026-04-11T12:05:47.645290+00:00,,22649032,176,2026-04-08T09:00:00+00:00,1002,240092.0,"rankboard:rid=1013:rank=28,https://www.bilibili.com/v/popular/rank/car",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1x7DaBZEWE,1014.0,时尚美妆,4.0,rankboard,rankboard:rid=1014:rank=4,2026-04-11T12:05:49.906460+00:00,,415897343,252,2026-04-08T09:00:00+00:00,125,1264389.0,"rankboard:rid=1014:rank=4,https://www.bilibili.com/v/popular/rank/fashion",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1GFDrBwEHC,1018.0,体育运动,57.0,rankboard,rankboard:rid=1018:rank=57,2026-04-11T12:05:52.537212+00:00,,3546957020662411,237,2026-04-08T09:00:00+00:00,823,91690.0,"rankboard:rid=1018:rank=57,https://www.bilibili.com/v/popular/rank/sports",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1aPDrBbEhw,,,,hot,hot:pn=11:ps=20,2026-04-09T13:11:53.543541+00:00,2026-04-09T13:11:53.543541+00:00,650899373,228,2026-04-08T09:00:00+00:00,765,254503.0,hot:pn=11:ps=20,full_site_floorings/daily_hot-20260409_211153.csv,full_site_floorings,1005
BV1QrDrBAEfx,,,,hot,hot:pn=12:ps=20,2026-04-09T13:11:53.543541+00:00,2026-04-09T13:11:53.543541+00:00,3546572358945017,231,2026-04-08T09:00:00+00:00,183,1110978.0,hot:pn=12:ps=20,full_site_floorings/daily_hot-20260409_211153.csv,full_site_floorings,1005
BV1PoD8BWEvr,,,,hot,hot:pn=1:ps=20,2026-04-08T13:12:26.158810+00:00,2026-04-08T13:12:26.158810+00:00,3493265644980448,172,2026-04-08T09:00:00+00:00,102,67226.0,hot:pn=1:ps=20,full_site_floorings/daily_hot-20260408_211226.csv,full_site_floorings,1007
BV1LoD6BPEqf,,,,hot,hot:pn=11:ps=20,2026-04-08T13:12:26.158810+00:00,2026-04-08T13:12:26.158810+00:00,1276787,228,2026-04-08T09:00:00+00:00,1581,50562.0,hot:pn=11:ps=20,full_site_floorings/daily_hot-20260408_211226.csv,full_site_floorings,1007
BV1k7DjBkEgn,1002.0,娱乐,27.0,rankboard,rankboard:rid=1002:rank=27,2026-04-10T14:49:18.787986+00:00,,1527390033,21,2026-04-08T08:59:25+00:00,124,94318.0,"rankboard:rid=1002:rank=27,https://www.bilibili.com/v/popular/rank/ent",full_site_floorings/rankboard-20260410_224902.csv,full_site_floorings,1002
BV1r7DjBkE9C,1003.0,音乐,89.0,rankboard,rankboard:rid=1003:rank=89,2026-04-11T12:05:31.092956+00:00,,22857515,29,2026-04-08T08:56:10+00:00,69,185760.0,"rankboard:rid=1003:rank=89,https://www.bilibili.com/v/popular/rank/music",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1QcDjBsEGT,,,,author_expand,owner:522653994,2026-04-08T09:18:17.042027+00:00,2026-04-08T09:18:17.042027+00:00,522653994,205,2026-04-08T08:54:05+00:00,29,987.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1gwDjB9EYE,,,,author_expand,owner:370405299,2026-04-08T10:03:55.154892+00:00,2026-04-08T10:03:55.154892+00:00,370405299,71,2026-04-08T08:50:13+00:00,171,1308.0,owner:370405299,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1QZDLBxEA7,1004.0,舞蹈,43.0,rankboard,rankboard:rid=1004:rank=43,2026-04-11T12:05:33.004704+00:00,,472626328,252,2026-04-08T08:46:41+00:00,14,126421.0,"rankboard:rid=1004:rank=43,https://www.bilibili.com/v/popular/rank/dance",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1XZDLBxETx,,,,author_expand,owner:4351252,2026-04-08T09:55:01.530225+00:00,2026-04-08T09:55:01.530225+00:00,4351252,205,2026-04-08T08:46:08+00:00,39,94.0,owner:4351252,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1UPDjBHEEQ,,,,author_expand,owner:10330740,2026-04-09T11:12:49.839969+00:00,2026-04-09T11:12:49.839969+00:00,648113003,228,2026-04-08T08:45:17+00:00,2154,198759.0,owner:10330740,uid_expansions/uid_expansion_20260325_20260409_190649/videolist_part_1.csv,uid_expansions,0
BV1QZDLBxEG5,1012.0,科技数码,99.0,rankboard,rankboard:rid=1012:rank=99,2026-04-10T14:49:23.549785+00:00,,7967338,25,2026-04-08T08:45:11+00:00,72,74997.0,"rankboard:rid=1012:rank=99,https://www.bilibili.com/v/popular/rank/tech",full_site_floorings/rankboard-20260410_224902.csv,full_site_floorings,1002
BV1J1D6BrEXm,,,,hot,hot:pn=13:ps=20,2026-04-09T13:11:53.543541+00:00,2026-04-09T13:11:53.543541+00:00,1458767615,228,2026-04-08T08:45:00+00:00,613,276535.0,hot:pn=13:ps=20,full_site_floorings/daily_hot-20260409_211153.csv,full_site_floorings,1005
BV1QZDLBxEhU,1008.0,游戏,52.0,rankboard,rankboard:rid=1008:rank=52,2026-04-11T12:05:26.269366+00:00,,1857140246,172,2026-04-08T08:44:33+00:00,17,1149684.0,"rankboard:rid=1008:rank=52,https://www.bilibili.com/v/popular/rank/game",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1mTDjBJEoj,,,,author_expand,owner:4351252,2026-04-08T09:55:01.530225+00:00,2026-04-08T09:55:01.530225+00:00,4351252,205,2026-04-08T08:40:42+00:00,31,21.0,owner:4351252,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV11MDjBUEo9,,,,author_expand,owner:547060198,2026-04-08T10:24:57.161697+00:00,2026-04-08T10:24:57.161697+00:00,547060198,17,2026-04-08T08:33:06+00:00,28,2.0,owner:547060198,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1SPDjBHEUs,1008.0,游戏,50.0,rankboard,rankboard:rid=1008:rank=50,2026-04-11T12:05:26.269366+00:00,,289371088,17,2026-04-08T08:30:08+00:00,243,535055.0,"rankboard:rid=1008:rank=50,https://www.bilibili.com/v/popular/rank/game",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV18kDjBxEC3,1003.0,音乐,35.0,rankboard,rankboard:rid=1003:rank=35,2026-04-08T13:22:03.563935+00:00,,2011298602,137,2026-04-08T08:30:00+00:00,67,110038.0,"rankboard:rid=1003:rank=35,https://www.bilibili.com/v/popular/rank/music",full_site_floorings/rankboard-20260408_212152.csv,full_site_floorings,1006
BV1UPDjBHEct,,,,author_expand,owner:1390829728,2026-04-08T09:47:06.208101+00:00,2026-04-08T09:47:06.208101+00:00,1390829728,205,2026-04-08T08:29:46+00:00,38,55.0,owner:1390829728,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1UPDjBHE68,,,,hot,hot:pn=10:ps=20,2026-04-09T13:11:53.543541+00:00,2026-04-09T13:11:53.543541+00:00,667710632,138,2026-04-08T08:29:27+00:00,205,547470.0,hot:pn=10:ps=20,full_site_floorings/daily_hot-20260409_211153.csv,full_site_floorings,1005
BV1gPDjBpENs,,,,author_expand,owner:3546902503098598,2026-04-08T09:40:33.698842+00:00,2026-04-08T09:40:33.698842+00:00,3546902503098598,154,2026-04-08T08:29:19+00:00,77,245.0,owner:3546902503098598,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1mPDjBHEYx,,,,author_expand,owner:3546902496807007,2026-04-08T09:44:19.406181+00:00,2026-04-08T09:44:19.406181+00:00,3546902496807007,154,2026-04-08T08:29:07+00:00,55,130.0,owner:3546902496807007,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1gPDjBpEFN,1013.0,汽车,7.0,rankboard,rankboard:rid=1013:rank=7,2026-04-10T14:49:28.086202+00:00,,364209685,176,2026-04-08T08:26:15+00:00,202,474086.0,"rankboard:rid=1013:rank=7,https://www.bilibili.com/v/popular/rank/car",full_site_floorings/rankboard-20260410_224902.csv,full_site_floorings,1002
BV1BwDiBsEFm,,,,author_expand,owner:224267770,2026-04-08T09:22:57.581711+00:00,2026-04-08T09:22:57.581711+00:00,224267770,27,2026-04-08T08:25:00+00:00,16,2152.0,owner:224267770,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1uNDjBQEsa,,,,author_expand,owner:106086780,2026-04-08T09:37:45.036140+00:00,2026-04-08T09:37:45.036140+00:00,106086780,207,2026-04-08T08:24:21+00:00,79,954.0,owner:106086780,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1UNDjBDEpV,,,,author_expand,owner:1794194767,2026-04-08T09:57:58.482539+00:00,2026-04-08T09:57:58.482539+00:00,1794194767,137,2026-04-08T08:23:52+00:00,41,71.0,owner:1794194767,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1aqDjBfEE5,,,,author_expand,owner:1658720232,2026-04-08T09:51:37.452941+00:00,2026-04-08T09:51:37.452941+00:00,1658720232,220,2026-04-08T08:20:24+00:00,155,1511.0,owner:1658720232,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1aqDjBfEXz,1012.0,科技数码,36.0,rankboard,rankboard:rid=1012:rank=36,2026-04-11T12:05:43.093519+00:00,,57071004,122,2026-04-08T08:19:24+00:00,123,286015.0,"rankboard:rid=1012:rank=36,https://www.bilibili.com/v/popular/rank/tech",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1eqDjBfEFn,,,,author_expand,owner:3546786627062259,2026-04-08T10:06:44.628628+00:00,2026-04-08T10:06:44.628628+00:00,3546786627062259,75,2026-04-08T08:19:18+00:00,62,212.0,owner:3546786627062259,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1YqDjBfEq1,1018.0,体育运动,65.0,rankboard,rankboard:rid=1018:rank=65,2026-04-11T12:05:52.537212+00:00,,2099429074,235,2026-04-08T08:19:04+00:00,167,121747.0,"rankboard:rid=1018:rank=65,https://www.bilibili.com/v/popular/rank/sports",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1azDjBtEXk,,,,author_expand,owner:522653994,2026-04-08T09:18:17.042027+00:00,2026-04-08T09:18:17.042027+00:00,522653994,205,2026-04-08T08:18:33+00:00,32,1345.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV19qDjBfE3o,,,,author_expand,owner:487614876,2026-04-08T09:29:50.566012+00:00,2026-04-08T09:29:50.566012+00:00,487614876,205,2026-04-08T08:18:30+00:00,66,4334.0,owner:487614876,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1Q6DjBoEhv,1012.0,科技数码,96.0,rankboard,rankboard:rid=1012:rank=96,2026-04-11T12:05:43.093519+00:00,,96434081,95,2026-04-08T08:17:47+00:00,472,82515.0,"rankboard:rid=1012:rank=96,https://www.bilibili.com/v/popular/rank/tech",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1hzDjBtEaM,1013.0,汽车,96.0,rankboard,rankboard:rid=1013:rank=96,2026-04-10T14:49:28.086202+00:00,,4776521,247,2026-04-08T08:16:31+00:00,162,54974.0,"rankboard:rid=1013:rank=96,https://www.bilibili.com/v/popular/rank/car",full_site_floorings/rankboard-20260410_224902.csv,full_site_floorings,1002
BV1RvDjBcEX6,,,,hot,hot:pn=4:ps=20,2026-04-11T11:55:15.557649+00:00,2026-04-11T11:55:15.557649+00:00,1921341872,250,2026-04-08T08:15:42+00:00,1450,1090670.0,hot:pn=4:ps=20,full_site_floorings/daily_hot-20260411_195515.csv,full_site_floorings,1001
BV1vvDjBcEEF,,,,author_expand,owner:17057196,2026-04-08T09:41:46.665989+00:00,2026-04-08T09:41:46.665989+00:00,17057196,172,2026-04-08T08:14:18+00:00,67,18285.0,owner:17057196,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV19vDjBcEh7,,,,author_expand,owner:1390829728,2026-04-08T09:47:06.208101+00:00,2026-04-08T09:47:06.208101+00:00,1390829728,205,2026-04-08T08:12:57+00:00,53,27.0,owner:1390829728,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1YiDjB8EK9,0.0,全站,14.0,rankboard,rankboard:rid=0:rank=14,2026-04-11T12:05:21.037354+00:00,,431073645,172,2026-04-08T08:11:36+00:00,10986,3880426.0,"rankboard:rid=0:rank=14,https://www.bilibili.com/v/popular/rank/all",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1evDjBcETw,,,,author_expand,owner:1390829728,2026-04-08T09:47:06.208101+00:00,2026-04-08T09:47:06.208101+00:00,1390829728,205,2026-04-08T08:11:31+00:00,49,27.0,owner:1390829728,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV15vDjBwEK2,,,,author_expand,owner:547060198,2026-04-08T10:24:57.161697+00:00,2026-04-08T10:24:57.161697+00:00,547060198,17,2026-04-08T08:11:06+00:00,14,10.0,owner:547060198,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1RiDjB8Eue,1018.0,体育运动,87.0,rankboard,rankboard:rid=1018:rank=87,2026-04-10T14:49:32.496497+00:00,,3536997073291285,252,2026-04-08T08:11:03+00:00,7,57069.0,"rankboard:rid=1018:rank=87,https://www.bilibili.com/v/popular/rank/sports",full_site_floorings/rankboard-20260410_224902.csv,full_site_floorings,1002
BV1YvDjBcEDK,1007.0,鬼畜,44.0,rankboard,rankboard:rid=1007:rank=44,2026-04-11T12:05:29.016069+00:00,,631238449,30,2026-04-08T08:10:53+00:00,106,63551.0,"rankboard:rid=1007:rank=44,https://www.bilibili.com/v/popular/rank/kichiku",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1evDjBcEuD,1012.0,科技数码,3.0,rankboard,rankboard:rid=1012:rank=3,2026-04-11T12:05:43.093519+00:00,,1783098833,95,2026-04-08T08:10:38+00:00,13,2956836.0,"rankboard:rid=1012:rank=3,https://www.bilibili.com/v/popular/rank/tech",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1GiDjBhE4q,1012.0,科技数码,62.0,rankboard,rankboard:rid=1012:rank=62,2026-04-11T12:05:43.093519+00:00,,3493258445458120,95,2026-04-08T08:10:36+00:00,200,157332.0,"rankboard:rid=1012:rank=62,https://www.bilibili.com/v/popular/rank/tech",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV1RzDrBeE9M,1024.0,动物,80.0,rankboard,rankboard:rid=1024:rank=80,2026-04-11T12:05:54.530109+00:00,,429617595,254,2026-04-08T08:09:12+00:00,31,237852.0,"rankboard:rid=1024:rank=80,https://www.bilibili.com/v/popular/rank/animal",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
BV19iDjB8E28,1005.0,动画,90.0,rankboard,rankboard:rid=1005:rank=90,2026-04-10T14:49:05.378959+00:00,,21103896,21,2026-04-08T08:09:02+00:00,31,218962.0,"rankboard:rid=1005:rank=90,https://www.bilibili.com/v/popular/rank/douga",full_site_floorings/rankboard-20260410_224902.csv,full_site_floorings,1002
BV1eiDjBhE12,,,,author_expand,owner:17057196,2026-04-08T09:41:46.665989+00:00,2026-04-08T09:41:46.665989+00:00,17057196,172,2026-04-08T08:08:37+00:00,382,27499.0,owner:17057196,uid_expansions/uid_expansion_20260325_20260408_163231/videolist_part_1.csv,uid_expansions,0
BV1YiDjB8ETv,1003.0,音乐,59.0,rankboard,rankboard:rid=1003:rank=59,2026-04-11T12:05:31.092956+00:00,,380751231,21,2026-04-08T08:07:28+00:00,47,416972.0,"rankboard:rid=1003:rank=59,https://www.bilibili.com/v/popular/rank/music",full_site_floorings/rankboard-20260411_200521.csv,full_site_floorings,1000
