bvid,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs
BV1bXAJz8EYC,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,30222764,216,2026-03-20T18:57:13,146,13421408.0,hot:pn=1:ps=20
BV1ZbwCzuEL7,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,1532165,256,2026-03-20T18:00:00,329,7909693.0,hot:pn=1:ps=20
BV1dRwczHEqM,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,1390224204,193,2026-03-25T00:00:00,126,77379.0,hot:pn=1:ps=20
BV1PyQzB7ER5,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,946974,228,2026-03-24T17:00:00,786,2035476.0,hot:pn=1:ps=20
BV1mVQfBuEYC,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,34840587,228,2026-03-24T10:25:00,2307,261825.0,hot:pn=1:ps=20
BV1gmQBBxEY2,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,3546720170412303,21,2026-03-24T18:24:52,176,73323.0,hot:pn=1:ps=20
BV1VmQ6BPEcH,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,410558000,201,2026-03-24T21:45:03,214,1176090.0,hot:pn=1:ps=20
BV1rgQzB6EMC,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,447598055,20,2026-03-24T17:22:41,54,100787.0,hot:pn=1:ps=20
BV17EQzBNEBB,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,456664753,21,2026-03-24T16:59:50,133,1546073.0,hot:pn=1:ps=20
BV162QqBTE8G,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,1745584728,193,2026-03-24T13:17:50,419,6791569.0,hot:pn=1:ps=20
BV155QZBSEGe,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,2035222731,228,2026-03-23T18:08:32,100,182369.0,hot:pn=1:ps=20
BV1BdAuz2ENj,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,88067499,162,2026-03-22T18:30:00,167,224478.0,hot:pn=1:ps=20
BV1jCAGzpExN,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,485678570,182,2026-03-22T20:30:09,1231,923539.0,hot:pn=1:ps=20
BV1gLQ9BYE7X,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,43887712,182,2026-03-23T12:07:16,85,1101735.0,hot:pn=1:ps=20
BV1NUAwzuE3C,hot,hot:pn=1:ps=20,2026-03-25T12:19:43.858475,2026-03-25T12:19:43.858475,95667399,159,2026-03-21T19:00:00,212,462130.0,hot:pn=1:ps=20
