board_rid,board_name,board_rank,bvid,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs
,,,BV1oWXLBiEXE,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,1088202950,242,2026-03-28T23:18:49,148,173001.0,hot:pn=1:ps=20
,,,BV1JkXjBVEcU,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,3546835872385797,138,2026-03-28T19:59:18,222,454700.0,hot:pn=1:ps=20
,,,BV1MBXPBtEbk,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,113362335,138,2026-03-27T17:05:00,540,4503503.0,hot:pn=1:ps=20
,,,BV1zSXuBsEMy,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,296465852,130,2026-03-28T08:20:00,279,589074.0,hot:pn=1:ps=20
,,,BV171XjB3E87,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,455572271,162,2026-03-28T20:41:24,54,118682.0,hot:pn=1:ps=20
,,,BV1NfXyBKEvM,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,400975707,27,2026-03-29T11:30:00,157,158608.0,hot:pn=1:ps=20
,,,BV15aXKBgEQG,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,30222764,22,2026-03-27T19:00:00,186,1492786.0,hot:pn=1:ps=20
,,,BV1daQ1BUEm2,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,352117879,30,2026-03-25T13:10:06,224,4443903.0,hot:pn=1:ps=20
,,,BV1wuXmBTEMy,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,3546862327957606,254,2026-03-29T12:30:00,298,531269.0,hot:pn=1:ps=20
,,,BV1TFXVBLEe3,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,2138746869,22,2026-03-28T12:07:47,58,2442377.0,hot:pn=1:ps=20
,,,BV1fYQSBeE8f,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,385976970,20,2026-03-25T19:56:54,81,7906065.0,hot:pn=1:ps=20
,,,BV1tgXMBAEHx,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,627040386,236,2026-03-27T23:03:14,184,709638.0,hot:pn=1:ps=20
,,,BV1EBX5BMEu5,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,3546781006694901,242,2026-03-28T18:07:27,527,808636.0,hot:pn=1:ps=20
,,,BV1LeXgBsEQw,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,130130236,27,2026-03-28T12:00:00,90,230468.0,hot:pn=1:ps=20
,,,BV1urXKBPE23,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,50660116,76,2026-03-27T18:30:23,429,772441.0,hot:pn=1:ps=20
,,,BV1oAXNBgEVW,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,3493265644980448,172,2026-03-28T19:00:00,140,260621.0,hot:pn=1:ps=20
,,,BV1aoXNBPEMQ,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,313580179,31,2026-03-27T19:19:38,219,427158.0,hot:pn=1:ps=20
,,,BV1EJXsBwENK,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,3493116134820283,85,2026-03-26T19:15:53,175,2466271.0,hot:pn=1:ps=20
,,,BV1EkXjBVE52,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,7545531,20,2026-03-28T20:02:38,123,540435.0,hot:pn=1:ps=20
,,,BV1xeQ2BTE6Y,hot,hot:pn=1:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,482066866,47,2026-03-25T18:19:47,128,995985.0,hot:pn=1:ps=20
,,,BV1SaXVBpEYe,hot,hot:pn=2:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,30502823,24,2026-03-28T11:43:57,37,1231003.0,hot:pn=2:ps=20
,,,BV1YgX5B4EPg,hot,hot:pn=2:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,3706954174171499,21,2026-03-28T17:40:36,16,483974.0,hot:pn=2:ps=20
,,,BV1ymXVBGEEZ,hot,hot:pn=2:ps=20,2026-03-29T20:25:03.432760,2026-03-29T20:25:03.432760,276807281,86,2026-03-28T18:44:24,22,460973.0,hot:pn=2:ps=20
