board_rid,board_name,board_rank,bvid,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs
0,全站,1,BV1RYXQBKEEd,rankboard,rankboard:rid=0:rank=1,2026-04-01T04:21:37.533721+00:00,,777536,182,2026-03-29T12:13:19+00:00,342,8191944.0,"rankboard:rid=0:rank=1,https://www.bilibili.com/v/popular/rank/all"
0,全站,2,BV1yyXmBGEeo,rankboard,rankboard:rid=0:rank=2,2026-04-01T04:21:37.533721+00:00,,701734634,221,2026-03-29T10:00:00+00:00,276,3505950.0,"rankboard:rid=0:rank=2,https://www.bilibili.com/v/popular/rank/all"
0,全站,3,BV1vKX5BFE6v,rankboard,rankboard:rid=0:rank=3,2026-04-01T04:21:37.533721+00:00,,3546627270773670,162,2026-03-28T09:57:14+00:00,105,2227767.0,"rankboard:rid=0:rank=3,https://www.bilibili.com/v/popular/rank/all"
0,全站,4,BV1nLXBB3Ew6,rankboard,rankboard:rid=0:rank=4,2026-04-01T04:21:37.533721+00:00,,652239032,17,2026-03-31T03:03:10+00:00,74,3379277.0,"rankboard:rid=0:rank=4,https://www.bilibili.com/v/popular/rank/all"
0,全站,5,BV13UX2BDEeN,rankboard,rankboard:rid=0:rank=5,2026-04-01T04:21:37.533721+00:00,,3493260618106936,138,2026-03-29T04:00:00+00:00,91,4127058.0,"rankboard:rid=0:rank=5,https://www.bilibili.com/v/popular/rank/all"
0,全站,6,BV1qaXhBjE5d,rankboard,rankboard:rid=0:rank=6,2026-04-01T04:21:37.533721+00:00,,37607457,161,2026-03-30T10:00:00+00:00,675,2280650.0,"rankboard:rid=0:rank=6,https://www.bilibili.com/v/popular/rank/all"
0,全站,7,BV1jyX5BPE4v,rankboard,rankboard:rid=0:rank=7,2026-04-01T04:21:37.533721+00:00,,515993,26,2026-03-28T12:00:00+00:00,81,4543907.0,"rankboard:rid=0:rank=7,https://www.bilibili.com/v/popular/rank/all"
0,全站,8,BV1JEAwzfEsj,rankboard,rankboard:rid=0:rank=8,2026-04-01T04:21:37.533721+00:00,,3546757206116480,172,2026-03-30T02:00:00+00:00,326,3477817.0,"rankboard:rid=0:rank=8,https://www.bilibili.com/v/popular/rank/all"
0,全站,9,BV1CNXeBaEe8,rankboard,rankboard:rid=0:rank=9,2026-04-01T04:21:37.533721+00:00,,3546726841452974,21,2026-03-30T10:19:59+00:00,1095,1828702.0,"rankboard:rid=0:rank=9,https://www.bilibili.com/v/popular/rank/all"
0,全站,10,BV1bGXyBqErH,rankboard,rankboard:rid=0:rank=10,2026-04-01T04:21:37.533721+00:00,,262453663,59,2026-03-28T19:53:37+00:00,54,4049108.0,"rankboard:rid=0:rank=10,https://www.bilibili.com/v/popular/rank/all"
0,全站,11,BV1RvX9BkErm,rankboard,rankboard:rid=0:rank=11,2026-04-01T04:21:37.533721+00:00,,18026414,171,2026-03-29T15:37:26+00:00,184,2082887.0,"rankboard:rid=0:rank=11,https://www.bilibili.com/v/popular/rank/all"
