bvid,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs
BV1r1AuzWE2t,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2026-03-22T18:15:10,1641,329632,owner:7349
BV1yQwuzxEMP,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2026-03-15T18:18:03,1471,1319557,owner:7349
BV1UGN3zrEVy,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2026-03-08T18:00:00,1709,1269206,owner:7349
BV1cfABzMEza,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2026-03-01T18:00:00,1883,1205777,owner:7349
BV1MjcFziEXs,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,4766713,173,2026-02-22T17:00:00,1442,389127,owner:7349
BV16RcgzJEvT,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2026-02-15T17:00:00,1261,651072,owner:7349
BV1RPcFzCEoP,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2026-02-08T18:13:53,1298,989238,owner:7349
BV1cKFpzmEgn,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2026-02-07T17:03:25,421,1122738,owner:7349
BV1hd64BcEnk,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2026-02-01T17:42:19,1887,1249634,owner:7349
BV1mdzDBsEXz,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2026-01-25T17:42:13,1127,900872,owner:7349
BV1hukxBhEu7,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2026-01-18T17:45:58,1944,1569538,owner:7349
BV1FS6dBZExS,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2026-01-11T18:15:00,1671,1115507,owner:7349
BV1A46mBrEWK,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2026-01-10T17:58:31,511,1090452,owner:7349
BV177igBEEiR,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2026-01-01T18:00:00,447,487065,owner:7349
BV1anvCBhEJH,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-12-28T20:08:11,1894,1934508,owner:7349
BV1TjBYBNESb,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-12-26T19:56:57,482,924774,owner:7349
BV1HTqUBYECG,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-12-21T18:00:00,1319,1111199,owner:7349
BV1FDqqBeE7g,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-12-20T12:21:31,745,1081056,owner:7349
BV1xdmeBfEf9,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-12-14T18:26:08,1694,1206531,owner:7349
BV13rmuBAEwR,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-12-11T19:28:45,959,996387,owner:7349
BV1TYmcBiEZV,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-12-07T19:20:51,1713,1128644,owner:7349
BV1vESiBSE3J,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-11-30T17:52:08,2003,1549325,owner:7349
BV1muUKBnERL,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-11-23T17:31:27,1757,1434684,owner:7349
BV1sGULBgEyP,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-11-22T12:00:00,1474,526331,owner:7349
BV1WfyVBxEpE,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-11-19T20:03:28,2371,726443,owner:7349
BV1fTCQBDESF,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-11-16T18:00:00,1574,1408661,owner:7349
BV11xkDBdEpN,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-11-09T17:36:38,1378,1402817,owner:7349
BV1nU1FBSEGx,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-11-02T20:25:39,1546,1606414,owner:7349
BV1VG1jBEEix,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-11-01T19:31:44,1105,1020009,owner:7349
BV1YXszz2EEX,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-10-26T20:44:02,1716,1706323,owner:7349
BV1jmsEz8EZp,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-10-24T19:06:48,400,398360,owner:7349
BV1A1swzoEGk,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-10-19T18:01:20,1594,1983865,owner:7349
BV13B4uzYEPZ,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-10-12T18:00:00,1134,781429,owner:7349
BV13UxnzhEQG,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-10-07T18:00:00,1851,573375,owner:7349
BV1NSxWztEje,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-10-04T18:00:00,1916,1079412,owner:7349
BV1UznozyETC,author_expand,owner:7349,2026-03-22T23:22:10.360782,2026-03-22T23:22:10.360782,7349,184,2025-09-28T18:09:13,1796,1628728,owner:7349
BV195wgz6EnP,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2026-03-16T02:38:30,28774,2272,owner:13434
BV18ewtzDEyu,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2026-03-14T20:28:24,3925,329,owner:13434
BV1SyPWz5ERj,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2026-03-06T19:58:35,5864,764,owner:13434
BV1odftBRE2S,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2026-02-25T20:23:52,4109,384,owner:13434
BV1BxfwBJEcA,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2026-02-22T16:52:22,5446,391,owner:13434
BV1jtfFB3ENH,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2026-02-22T14:21:22,4046,418,owner:13434
BV1G1f7BXEEa,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2026-02-21T17:31:06,3884,490,owner:13434
BV1UvfEB7E1Z,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2026-02-21T15:14:05,3742,479,owner:13434
BV1HNfjBcEYD,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2026-02-21T12:49:34,3910,521,owner:13434
BV1TgZXBzEkL,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2026-02-18T21:10:03,6163,498,owner:13434
BV18KFdzdE7q,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2026-02-11T04:07:40,2173,693,owner:13434
BV1yWcuzQE5L,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2026-02-09T23:17:01,3661,1359,owner:13434
BV1hGkjBqEWZ,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2026-01-20T20:42:04,4098,406,owner:13434
BV1NhBjBDEW3,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-12-24T21:50:40,5074,502,owner:13434
BV1qkqQBKES4,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-12-18T21:30:36,3982,388,owner:13434
BV1ZjmZBCEA6,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-12-13T23:51:51,3723,438,owner:13434
BV1gJSCBAE9K,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-12-01T19:50:22,3599,633,owner:13434
BV18eUaBFEh2,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-11-26T21:28:19,5156,400,owner:13434
BV1iRCQBUESQ,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-11-16T13:07:07,3725,242,owner:13434
BV1wJCtBxEVH,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-11-13T22:10:05,4398,354,owner:13434
BV1JWCtBXESp,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-11-13T21:51:09,557,728,owner:13434
BV1LR1XBxE2K,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-11-09T01:33:35,7969,884,owner:13434
BV1Vg2FBzESz,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-11-06T18:36:42,3974,526,owner:13434
BV1AQ14BaEp8,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-11-05T21:19:25,7686,1582,owner:13434
BV1cf14BZEAz,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-11-05T21:07:43,33,450,owner:13434
BV1yZ1kBkE8R,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-11-04T21:19:29,34,418,owner:13434
BV12J1vBxEJo,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-11-03T21:06:19,26,503,owner:13434
BV1a2yfBwE3H,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-11-02T21:45:52,46,347,owner:13434
BV1EVyDBQEvd,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-11-02T00:27:13,11173,447,owner:13434
BV1VKyQBjEUh,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-11-01T22:42:47,27,443,owner:13434
BV1YJ1uB8ELg,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,17,2025-11-01T02:21:19,224,1926,owner:13434
BV1pAyxBpE8p,author_expand,owner:13434,2026-03-22T23:22:14.878089,2026-03-22T23:22:14.878089,13434,152,2025-10-30T03:01:18,8234,3491,owner:13434
