bvid,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs
BV1WxXZBKEpG,author_expand,owner:928123,2026-04-06T06:41:12.994599+00:00,2026-04-06T06:41:12.994599+00:00,928123,33,2026-04-05T08:30:02+00:00,1438,720446.0,owner:928123
BV1TfD3BgExd,author_expand,owner:928123,2026-04-06T06:41:12.994599+00:00,2026-04-06T06:41:12.994599+00:00,928123,33,2026-04-05T02:00:02+00:00,1380,92385.0,owner:928123
BV1mfD3BuEsa,author_expand,owner:928123,2026-04-06T06:41:12.994599+00:00,2026-04-06T06:41:12.994599+00:00,928123,33,2026-04-05T02:00:02+00:00,1374,1253260.0,owner:928123
BV1CfDTBXEMS,author_expand,owner:928123,2026-04-06T06:41:12.994599+00:00,2026-04-06T06:41:12.994599+00:00,928123,33,2026-04-04T11:30:02+00:00,1489,46786.0,owner:928123
BV1kcDMBHEJx,author_expand,owner:928123,2026-04-06T06:41:12.994599+00:00,2026-04-06T06:41:12.994599+00:00,928123,33,2026-04-04T11:30:02+00:00,1483,302417.0,owner:928123
BV1cw9LB1EAm,author_expand,owner:928123,2026-04-06T06:41:12.994599+00:00,2026-04-06T06:41:12.994599+00:00,928123,33,2026-04-04T10:00:01+00:00,1436,59826.0,owner:928123
BV1avD5BpEJE,author_expand,owner:1577804,2026-04-06T06:41:39.166969+00:00,2026-04-06T06:41:39.166969+00:00,1577804,17,2026-04-05T04:05:16+00:00,2070,860983.0,owner:1577804
BV1mgcjzCENA,author_expand,owner:7584632,2026-04-06T06:42:01.472822+00:00,2026-04-06T06:42:01.472822+00:00,7584632,178,2026-04-05T10:01:01+00:00,2689,2967.0,owner:7584632
BV1mgcjzCELA,author_expand,owner:7584632,2026-04-06T06:42:01.472822+00:00,2026-04-06T06:42:01.472822+00:00,7584632,178,2026-04-05T10:00:02+00:00,2689,1814.0,owner:7584632
BV1VZDKBvEwQ,author_expand,owner:7584632,2026-04-06T06:42:01.472822+00:00,2026-04-06T06:42:01.472822+00:00,7584632,183,2026-04-05T04:05:02+00:00,59,9024.0,owner:7584632
BV1J39MBxEhC,author_expand,owner:7584632,2026-04-06T06:42:01.472822+00:00,2026-04-06T06:42:01.472822+00:00,7584632,183,2026-04-05T04:02:01+00:00,117,3033.0,owner:7584632
BV1HK9MBfEoA,author_expand,owner:7584632,2026-04-06T06:42:01.472822+00:00,2026-04-06T06:42:01.472822+00:00,7584632,183,2026-04-05T04:01:01+00:00,91,3134.0,owner:7584632
BV1Du9uB1E1R,author_expand,owner:7584632,2026-04-06T06:42:01.472822+00:00,2026-04-06T06:42:01.472822+00:00,7584632,180,2026-04-05T04:00:02+00:00,2838,663133.0,owner:7584632
BV1Ki9KBhEFY,author_expand,owner:7584632,2026-04-06T06:42:01.472822+00:00,2026-04-06T06:42:01.472822+00:00,7584632,183,2026-04-04T12:01:01+00:00,45,24361.0,owner:7584632
BV1z49NBmE4x,author_expand,owner:7584632,2026-04-06T06:42:01.472822+00:00,2026-04-06T06:42:01.472822+00:00,7584632,180,2026-04-04T12:00:02+00:00,2997,712684.0,owner:7584632
BV1pM9gBKEZY,author_expand,owner:7584632,2026-04-06T06:42:01.472822+00:00,2026-04-06T06:42:01.472822+00:00,7584632,183,2026-04-04T03:00:02+00:00,375,35648.0,owner:7584632
BV1KVDTBsEq4,author_expand,owner:14229967,2026-04-06T06:42:03.253732+00:00,2026-04-06T06:42:03.253732+00:00,14229967,208,2026-04-04T12:10:20+00:00,4351,613079.0,owner:14229967
BV1yTD5BrEMy,author_expand,owner:20165629,2026-04-06T06:42:47.382455+00:00,2026-04-06T06:42:47.382455+00:00,20165629,232,2026-04-05T09:00:00+00:00,18,260476.0,owner:20165629
BV1NTD5BkEjk,author_expand,owner:20165629,2026-04-06T06:42:47.382455+00:00,2026-04-06T06:42:47.382455+00:00,20165629,232,2026-04-05T06:59:46+00:00,182,11919.0,owner:20165629
BV1CfDTBXEpR,author_expand,owner:20165629,2026-04-06T06:42:47.382455+00:00,2026-04-06T06:42:47.382455+00:00,20165629,232,2026-04-04T09:43:54+00:00,227,16366.0,owner:20165629
BV1uPDTBhEHX,author_expand,owner:39627524,2026-04-06T06:43:12.024411+00:00,2026-04-06T06:43:12.024411+00:00,39627524,21,2026-04-04T12:29:03+00:00,4870,1452334.0,owner:39627524
BV1QuSUBLETk,author_expand,owner:10330740,2026-04-06T06:47:41.578016+00:00,2026-04-06T06:47:41.578016+00:00,10330740,124,2026-04-05T09:59:26+00:00,22,53827.0,owner:10330740
BV1XPSUBmECT,author_expand,owner:10330740,2026-04-06T06:47:41.578016+00:00,2026-04-06T06:47:41.578016+00:00,10330740,124,2026-04-05T09:57:24+00:00,13,56338.0,owner:10330740
BV11PSSBqEKd,author_expand,owner:13354765,2026-04-06T06:47:43.835464+00:00,2026-04-06T06:47:43.835464+00:00,13354765,17,2026-04-05T09:00:00+00:00,1714,1241111.0,owner:13354765
BV1ET9LBGEmR,author_expand,owner:15773384,2026-04-06T06:47:53.875149+00:00,2026-04-06T06:47:53.875149+00:00,15773384,145,2026-04-06T02:00:01+00:00,5790,10729.0,owner:15773384
BV1HNXeBaEKG,author_expand,owner:15773384,2026-04-06T06:47:53.875149+00:00,2026-04-06T06:47:53.875149+00:00,15773384,145,2026-04-05T10:00:02+00:00,6819,9252.0,owner:15773384
BV1HGXBBVEm9,author_expand,owner:15773384,2026-04-06T06:47:53.875149+00:00,2026-04-06T06:47:53.875149+00:00,15773384,145,2026-04-05T03:00:02+00:00,7405,4755.0,owner:15773384
BV1EJXBBBEYL,author_expand,owner:15773384,2026-04-06T06:47:53.875149+00:00,2026-04-06T06:47:53.875149+00:00,15773384,145,2026-04-05T03:00:02+00:00,7405,77085.0,owner:15773384
BV1uyDNBxEAF,author_expand,owner:15773384,2026-04-06T06:47:53.875149+00:00,2026-04-06T06:47:53.875149+00:00,15773384,147,2026-04-05T02:00:02+00:00,3235,73402.0,owner:15773384
BV1fL9JBHEKL,author_expand,owner:15773384,2026-04-06T06:47:53.875149+00:00,2026-04-06T06:47:53.875149+00:00,15773384,147,2026-04-04T02:00:02+00:00,5261,58169.0,owner:15773384
BV1ZL9JBHEos,author_expand,owner:15773384,2026-04-06T06:47:53.875149+00:00,2026-04-06T06:47:53.875149+00:00,15773384,147,2026-04-04T02:00:02+00:00,5261,285123.0,owner:15773384
BV1CN9MB8E3r,author_expand,owner:98627270,2026-04-06T06:48:29.189388+00:00,2026-04-06T06:48:29.189388+00:00,98627270,170,2026-04-06T04:00:02+00:00,49,8890.0,owner:98627270
BV1GMSDB9E1q,author_expand,owner:98627270,2026-04-06T06:48:29.189388+00:00,2026-04-06T06:48:29.189388+00:00,98627270,170,2026-04-06T03:00:02+00:00,37,9906.0,owner:98627270
